,taxdoug_2016,view_transgender_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,affirmact_gen_2016,immi_contribution_2016,police_threat_2016,pid3_2016,gvmt_involment_2016,wealth_2016,policies_favor_2016,obamaapp_2016,healthreformbill_2016,presvote16post_2016
456,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
457,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
458,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
459,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
460,No,Don't know,Strongly agree,Men and women have equal opportunities,Oppose,Mostly make a contribution,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
461,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,Don't know,Don't know,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
462,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
463,No,Should be required to use the restrooms of the gender they were born into,Agree,Don't know,Oppose,Mostly make a contribution,Don't know,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Hillary Clinton
464,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
465,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Oppose,Mostly make a contribution,Part of a broader pattern,Democrat,Don't know,Should be more evenly distributed,Favor blacks over whites,Somewhat Approve,Expanded,Hillary Clinton
466,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
467,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
468,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
469,No,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Oppose,Mostly a drain,Part of a broader pattern,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
