,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
216,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
217,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
218,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
219,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
220,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Not sure,Not sure,Hillary Clinton
221,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Other
222,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
223,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
224,Strongly oppose,Not sure,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
225,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Other
226,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Favor,Not sure,Donald Trump
227,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Favor,Repealed,Donald Trump
228,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Oppose,Repealed,Donald Trump
229,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Not sure,Repealed,Donald Trump
230,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
231,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
232,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
233,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Other,Definitely is not happening,Oppose,Repealed,Donald Trump
234,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
235,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
236,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
237,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
238,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
239,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
240,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Favor,Repealed,Donald Trump
241,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
242,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
243,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
244,Somewhat oppose,Generally headed in the right direction,Pay less,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
245,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
246,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
247,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
248,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Favor,Repealed,Hillary Clinton
249,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
250,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Favor,Repealed,Donald Trump
251,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
252,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
253,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
254,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
255,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
256,Somewhat oppose,Off on the wrong track,About the same,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
257,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
258,Somewhat support,Off on the wrong track,Pay more,Strongly Approve,Independent,Definitely is happening,Favor,Kept the same,Gary Johnson
259,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
260,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
261,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
262,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
263,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
264,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Favor,Not sure,Donald Trump
265,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Oppose,Repealed,Donald Trump
266,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
267,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
268,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
269,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Not sure,Repealed,Donald Trump
270,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
271,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Oppose,Repealed,Donald Trump
272,Not sure,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Not sure,Repealed,Donald Trump
273,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
274,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
275,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
276,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
277,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
278,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
279,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
280,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
281,Strongly support,Not sure,About the same,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
282,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
283,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Not sure,Repealed,Donald Trump
284,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Independent,Definitely is happening,Not sure,Expanded,Hillary Clinton
285,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
286,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Gary Johnson
287,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
288,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
289,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,,Favor,Not sure,Donald Trump
290,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
291,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
292,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
293,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
294,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
295,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
296,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
297,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
298,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
299,Somewhat support,Off on the wrong track,Not sure,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
300,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
301,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
302,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
303,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
304,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,,Oppose,Repealed,Donald Trump
305,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Other,Definitely is not happening,Oppose,Repealed,Donald Trump
306,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
307,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
308,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
309,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Oppose,Repealed,Donald Trump
310,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Favor,Repealed,Gary Johnson
311,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Other,Probably is happening,Oppose,Repealed,Donald Trump
312,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
313,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Not sure,Not sure,Repealed,Donald Trump
314,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
315,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
316,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
317,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Gary Johnson
318,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
319,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
320,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
321,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
