,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
202,Strongly oppose,Not sure,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
203,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
204,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
205,Somewhat oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
206,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
207,Strongly oppose,Not sure,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Jill Stein
208,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
209,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
210,Strongly oppose,Off on the wrong track,Pay less,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
211,Somewhat oppose,Not sure,Not sure,Somewhat Approve,Independent,Probably is not happening,Favor,Expanded,Hillary Clinton
212,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
213,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
214,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
215,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Strongly Approve,Independent,Probably is happening,Favor,Repealed,Hillary Clinton
