obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Somewhat Approve,Expanded,No,49.0,Treat both groups the same,Somewhat important,Probably is happening,Strongly oppose,Independent,"No, not in either",Moderate,Too much,Neither,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,75.0,Part of a broader pattern,Don't Know,Agree,Oppose,Disagree,Agree,Don't know,Strongly agree,56.0,Hillary Clinton
Strongly Disapprove,Repealed,No,2.0,Favor blacks over whites,Somewhat important,Probably is not happening,Strongly favor,Republican,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,47.0,Isolated incidents,Strongly Agree,Strongly agree,Favor,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,52.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly oppose,Independent,"No, not in either",Conservative,About the right amount,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,27.0,Part of a broader pattern,Strongly Agree,Disagree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,10.0,Donald Trump
Somewhat Approve,Expanded,Yes,48.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly favor,Democrat,"No, not in either",Conservative,Too little,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,57.0,Part of a broader pattern,Disagree,Agree,Don't know,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,3.0,Hillary Clinton
Strongly Approve,Kept the same,Yes,100.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Very liberal,About the right amount,Don't know,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,73.0,Part of a broader pattern,Disagree,Disagree,Favor,Disagree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,51.91723549488054,Hillary Clinton
Strongly Approve,Don't know,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Liberal,Don't know,Mostly make a contribution,Should be more evenly distributed,Don't know,94.0,Part of a broader pattern,Disagree,Disagree,Favor,Don't Know,Agree,Don't know,Agree,84.0,Hillary Clinton
Strongly Approve,Kept the same,Yes,37.0,Treat both groups the same,Very important,Probably is happening,Don't know,Democrat,In the Democratic primary,Moderate,About the right amount,Don't know,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,54.0,Part of a broader pattern,Disagree,Agree,Favor,Agree,Agree,Don't know,Agree,40.0,Hillary Clinton
Somewhat Approve,Don't know,No,99.0,Don't know,Not very important,Probably is not happening,Don't know,Democrat,In the Democratic primary,Conservative,Too much,Mostly make a contribution,Distribution is fair,We need a strong government to handle today's complex economic problems,31.0,Isolated incidents,Don't Know,Strongly agree,Favor,Disagree,Disagree,Should be required to use the restrooms of the gender they were born into,Agree,11.0,Donald Trump
Somewhat Disapprove,Repealed,No,11.0,Treat both groups the same,Unimportant,Definitely is not happening,Somewhat favor,Republican,In the Republican primary,Conservative,About the right amount,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,3.0,Isolated incidents,Don't Know,Agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,96.0,Donald Trump
Somewhat Approve,Don't know,Yes,11.0,Treat both groups the same,Very important,Definitely is happening,Strongly favor,Independent,"No, not in either",Liberal,Too little,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Isolated incidents,Strongly Agree,Agree,Don't know,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,51.91723549488054,Hillary Clinton
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Not very important,Probably is happening,Strongly favor,Republican,In the Republican primary,Conservative,Don't know,Mostly a drain,Should be more evenly distributed,Don't know,52.993479752916954,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,51.91723549488054,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Somewhat important,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,50.0,Isolated incidents,Strongly Agree,Agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,9.0,Donald Trump
Strongly Approve,Expanded,Yes,1.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Republican primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,Don't know,52.993479752916954,Isolated incidents,Agree,Agree,Favor,Strongly Disagree,Strongly Agree,Don't know,Strongly agree,25.0,Hillary Clinton
Somewhat Approve,Repealed,No,81.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too much,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,9.0,Part of a broader pattern,Strongly Agree,Disagree,Favor,Strongly Agree,Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,5.0,Hillary Clinton
Strongly Approve,Kept the same,Yes,81.0,Treat both groups the same,Somewhat important,Definitely is happening,Don't know,Democrat,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Don't know,Don't know,75.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,48.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,75.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,93.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,91.0,Hillary Clinton
Somewhat Disapprove,Expanded,Yes,20.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Independent,"No, not in either",Conservative,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,36.0,Isolated incidents,Strongly Agree,Strongly agree,Don't know,Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,78.0,Donald Trump
Somewhat Disapprove,Don't know,No,30.0,Favor blacks over whites,Somewhat important,Probably is happening,Don't know,Republican,In the Republican primary,Conservative,About the right amount,Neither,Distribution is fair,Don't know,54.0,Isolated incidents,Agree,Agree,Don't know,Don't Know,Agree,Should be required to use the restrooms of the gender they were born into,Agree,98.0,Donald Trump
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Don't know,We need a strong government to handle today's complex economic problems,52.993479752916954,Isolated incidents,Strongly Agree,Strongly agree,Don't know,Disagree,Strongly Agree,Don't know,Agree,50.0,Donald Trump
Somewhat Disapprove,Repealed,No,34.0,Favor blacks over whites,Somewhat important,Definitely is happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too little,Mostly a drain,Distribution is fair,We need a strong government to handle today's complex economic problems,28.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,28.0,Donald Trump
Strongly Approve,Expanded,Yes,46.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,90.0,Part of a broader pattern,Strongly Disagree,Disagree,Don't know,Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,30.0,Hillary Clinton
Somewhat Approve,Repealed,No,70.0,Don't know,Somewhat important,Probably is happening,Somewhat favor,Independent,"No, not in either",Moderate,Too much,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,78.0,Isolated incidents,Don't Know,Agree,Favor,Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,76.0,Donald Trump
